"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Oct 09 22:47:19 BRT 2023","Mon Oct 09 22:47:31 BRT 2023","11766","","Acessar Admin Painel","","","","Should register a product on Ebac Store",""
"passed","Thu Oct 12 21:16:13 BRT 2023","Thu Oct 12 21:16:14 BRT 2023","1198","","Access Admin Painel","","","","Should post the product ",""
"passed","Thu Oct 12 21:16:07 BRT 2023","Thu Oct 12 21:16:13 BRT 2023","6692","","Access Admin Painel","","","","Should set price on product  ",""
"passed","Thu Oct 12 21:15:05 BRT 2023","Thu Oct 12 21:15:42 BRT 2023","37874","","Access Admin Painel","","","","should login whith valid credentials",""
"passed","Thu Oct 12 21:15:42 BRT 2023","Thu Oct 12 21:15:55 BRT 2023","12090","","Access Admin Painel","","","","Should add a photo",""
"passed","Thu Oct 12 21:15:55 BRT 2023","Thu Oct 12 21:16:07 BRT 2023","12034","","Access Admin Painel","","","","Should register a name to the product ",""
"broken","Mon Oct 09 22:43:35 BRT 2023","Mon Oct 09 22:43:38 BRT 2023","3090","","Acessar Admin Painel","","","","Should set price on product  ",""
"passed","Mon Oct 09 22:46:41 BRT 2023","Mon Oct 09 22:47:19 BRT 2023","37572","","Acessar Admin Painel","","","","should login whith valid credentials",""
